model-1571255818,1571255829.751,0.53,0.2498,0.43,0.2727
model-1571255818,1571255829.825,0.63,0.2316,0.44,0.3989
model-1571255818,1571255829.898,0.53,0.3437,0.45,0.2854
model-1571255818,1571255829.966,0.48,0.275,0.49,0.254
model-1571255818,1571255830.033,0.45,0.256,0.45,0.2514
model-1571255818,1571255830.102,0.47,0.2508,0.45,0.2505
model-1571255818,1571255830.17,0.47,0.2501,0.4,0.2502
model-1571255818,1571255830.238,0.45,0.2503,0.55,0.2499
model-1571255818,1571255830.306,0.52,0.25,0.55,0.2494
model-1571255818,1571255830.376,0.55,0.2495,0.52,0.2499
model-1571255818,1571255830.445,0.47,0.2513,0.52,0.2497
model-1571255818,1571255830.514,0.5,0.2502,0.53,0.2493
model-1571255818,1571255830.582,0.47,0.2514,0.54,0.249
model-1571255818,1571255830.651,0.48,0.2507,0.54,0.2493
model-1571255818,1571255830.719,0.43,0.2515,0.54,0.2495
model-1571255818,1571255830.787,0.57,0.2493,0.49,0.2502
model-1571255818,1571255830.855,0.5,0.2497,0.53,0.2499
model-1571255818,1571255830.924,0.56,0.2498,0.58,0.2499
model-1571255818,1571255830.992,0.46,0.2499,0.53,0.2497
model-1571255818,1571255831.06,0.51,0.2498,0.4,0.2512
model-1571255818,1571255831.128,0.54,0.2493,0.49,0.2502
model-1571255818,1571255831.197,0.46,0.251,0.46,0.2509
model-1571255818,1571255831.266,0.49,0.2501,0.51,0.2496
model-1571255818,1571255831.333,0.43,0.2519,0.48,0.25
model-1571255818,1571255831.401,0.49,0.2501,0.47,0.2501
model-1571255818,1571255831.469,0.43,0.2508,0.62,0.2496
model-1571255818,1571255831.537,0.54,0.2499,0.5,0.2498
model-1571255818,1571255831.605,0.46,0.2503,0.52,0.2497
model-1571255818,1571255831.673,0.43,0.2511,0.51,0.2498
model-1571255818,1571255831.742,0.5,0.25,0.52,0.2496
model-1571255818,1571255831.811,0.45,0.2508,0.51,0.2498
model-1571255818,1571255831.879,0.49,0.2499,0.52,0.2496
model-1571255818,1571255831.947,0.56,0.2489,0.51,0.2498
model-1571255818,1571255832.015,0.53,0.2496,0.48,0.2502
model-1571255818,1571255832.083,0.48,0.2504,0.47,0.2506
model-1571255818,1571255832.151,0.46,0.2506,0.49,0.2501
model-1571255818,1571255832.218,0.54,0.2493,0.48,0.2501
model-1571255818,1571255832.287,0.55,0.2492,0.49,0.2503
model-1571255818,1571255832.355,0.51,0.25,0.52,0.2494
model-1571255818,1571255832.423,0.46,0.2505,0.51,0.2499
model-1571255818,1571255832.492,0.41,0.251,0.57,0.2494
model-1571255818,1571255832.561,0.43,0.2502,0.58,0.2497
model-1571255818,1571255832.63,0.59,0.2496,0.51,0.2498
model-1571255818,1571255832.699,0.47,0.2499,0.49,0.2501
model-1571255818,1571255832.767,0.51,0.2492,0.46,0.2506
model-1571255818,1571255832.835,0.44,0.2505,0.59,0.2486
model-1571255818,1571255832.903,0.51,0.2493,0.53,0.249
model-1571255818,1571255832.971,0.46,0.2501,0.55,0.2493
model-1571255818,1571255833.04,0.46,0.2508,0.38,0.2511
model-1571255818,1571255833.109,0.46,0.2499,0.59,0.2495
model-1571255818,1571255833.178,0.53,0.2496,0.51,0.25
model-1571255818,1571255833.247,0.55,0.2497,0.59,0.2495
model-1571255818,1571255833.314,0.52,0.2497,0.5,0.2497
model-1571255818,1571255833.383,0.48,0.2502,0.55,0.2493
model-1571255818,1571255833.451,0.58,0.2495,0.56,0.2496
model-1571255818,1571255833.519,0.54,0.2497,0.48,0.2498
model-1571255818,1571255833.587,0.62,0.2492,0.56,0.2495
model-1571255818,1571255833.657,0.54,0.2496,0.46,0.2504
model-1571255818,1571255833.726,0.62,0.2489,0.49,0.2496
model-1571255818,1571255833.795,0.49,0.2498,0.51,0.2499
model-1571255818,1571255833.863,0.42,0.2526,0.45,0.2511
model-1571255818,1571255833.932,0.46,0.2507,0.45,0.2508
model-1571255818,1571255834.0,0.42,0.2514,0.43,0.2512
model-1571255818,1571255834.068,0.6,0.2478,0.51,0.2495
model-1571255818,1571255834.136,0.57,0.2487,0.53,0.2494
model-1571255818,1571255834.205,0.47,0.2495,0.52,0.2495
model-1571255818,1571255834.274,0.58,0.2491,0.51,0.2497
model-1571255818,1571255834.343,0.6,0.2492,0.54,0.2494
model-1571255818,1571255834.412,0.55,0.2488,0.58,0.2493
model-1571255818,1571255834.481,0.63,0.2489,0.55,0.2491
model-1571255818,1571255834.549,0.61,0.2483,0.54,0.2479
model-1571255818,1571255834.617,0.56,0.2476,0.57,0.2475
model-1571255818,1571255834.685,0.51,0.2495,0.55,0.2474
model-1571255818,1571255834.754,0.58,0.2464,0.47,0.2505
model-1571255818,1571255834.822,0.5,0.2502,0.5,0.2495
model-1571255818,1571255834.891,0.57,0.2466,0.52,0.2485
model-1571255818,1571255834.959,0.58,0.2474,0.58,0.2476
model-1571255818,1571255835.029,0.56,0.247,0.6,0.2452
model-1571255818,1571255835.098,0.6,0.2464,0.5,0.2502
model-1571255818,1571255835.166,0.49,0.2489,0.54,0.2487
model-1571255818,1571255835.234,0.52,0.2488,0.54,0.2468
model-1571255818,1571255835.302,0.52,0.2485,0.61,0.246
model-1571255818,1571255835.371,0.58,0.246,0.46,0.2523
model-1571255818,1571255835.438,0.63,0.2459,0.55,0.2476
model-1571255818,1571255835.507,0.64,0.2447,0.63,0.2444
model-1571255818,1571255835.576,0.59,0.2444,0.59,0.2431
model-1571255818,1571255835.645,0.55,0.2461,0.59,0.2464
model-1571255818,1571255835.713,0.54,0.2459,0.56,0.244
model-1571255818,1571255835.781,0.7,0.237,0.5,0.2516
model-1571255818,1571255835.849,0.65,0.2392,0.57,0.2458
model-1571255818,1571255835.917,0.49,0.2474,0.51,0.2485
model-1571255818,1571255835.986,0.57,0.2432,0.47,0.2545
model-1571255818,1571255836.054,0.55,0.2429,0.55,0.2446
model-1571255818,1571255836.123,0.6,0.24,0.65,0.2347
model-1571255818,1571255836.193,0.53,0.2477,0.56,0.2338
model-1571255818,1571255836.261,0.57,0.2392,0.63,0.239
model-1571255818,1571255836.33,0.59,0.2369,0.59,0.2418
model-1571255818,1571255836.398,0.54,0.2459,0.55,0.2524
model-1571255818,1571255836.466,0.6,0.2397,0.67,0.2325
model-1571255818,1571255836.534,0.63,0.2312,0.58,0.2427
model-1571255818,1571255836.602,0.64,0.234,0.6,0.2354
model-1571255818,1571255836.671,0.59,0.2422,0.48,0.2613
model-1571255818,1571255836.74,0.52,0.2481,0.61,0.2311
model-1571255818,1571255836.809,0.55,0.2365,0.62,0.2384
model-1571255818,1571255836.878,0.57,0.2434,0.65,0.2373
model-1571255818,1571255836.947,0.64,0.2233,0.57,0.236
model-1571255818,1571255837.015,0.53,0.2457,0.52,0.2472
model-1571255818,1571255837.082,0.56,0.2428,0.46,0.2615
model-1571255818,1571255837.15,0.59,0.2405,0.59,0.2329
model-1571255818,1571255837.219,0.54,0.2454,0.6,0.2424
model-1571255818,1571255837.286,0.62,0.2291,0.58,0.2469
model-1571255818,1571255837.355,0.5,0.2602,0.58,0.2403
model-1571255818,1571255837.423,0.6,0.2421,0.48,0.2584
model-1571255818,1571255837.493,0.63,0.2253,0.61,0.2301
model-1571255818,1571255837.562,0.67,0.2219,0.5,0.2606
model-1571255818,1571255837.631,0.56,0.2455,0.64,0.2351
model-1571255818,1571255837.699,0.55,0.2399,0.55,0.2465
model-1571255818,1571255837.768,0.54,0.2458,0.56,0.2371
model-1571255818,1571255837.836,0.64,0.2346,0.61,0.2349
model-1571255818,1571255837.903,0.54,0.2308,0.51,0.2643
model-1571255818,1571255837.973,0.54,0.2532,0.49,0.252
model-1571255818,1571255838.042,0.62,0.2328,0.63,0.2369
model-1571255818,1571255838.111,0.61,0.2208,0.6,0.2467
model-1571255818,1571255838.179,0.6,0.2332,0.63,0.2316
model-1571255818,1571255838.247,0.65,0.2282,0.51,0.249
model-1571255818,1571255838.315,0.59,0.245,0.58,0.2409
model-1571255818,1571255838.383,0.56,0.2478,0.57,0.2344
model-1571255818,1571255838.451,0.63,0.2336,0.56,0.2368
model-1571255818,1571255838.519,0.65,0.2295,0.59,0.2396
model-1571255818,1571255838.588,0.63,0.2285,0.57,0.2384
model-1571255818,1571255838.657,0.54,0.2346,0.48,0.2591
model-1571255818,1571255838.726,0.69,0.2139,0.61,0.2435
model-1571255818,1571255838.795,0.63,0.2227,0.61,0.2377
model-1571255818,1571255838.864,0.66,0.2196,0.51,0.2743
model-1571255818,1571255838.932,0.59,0.2407,0.56,0.2484
model-1571255818,1571255839.0,0.53,0.2514,0.63,0.2329
model-1571255818,1571255839.067,0.69,0.2086,0.58,0.2326
model-1571255818,1571255839.136,0.62,0.2236,0.62,0.2364
